orderId,customer_name,customer_email,customer_phone,productId,productName,quantity,price,street,city,state,zip,country,orderDate,status,totalAmount
5633aa73-14f4-45dc-ae93-844ae7e66bbf,Breanna Hart,asantana@example.com,705-443-6320x875,c631aa11-ce47-4983-97b6-f34eed659caf,language,6,64.4,61441 Villa Brook Suite 030,West Morganville,PA,47205,United States,2025-03-06T07:11:47,Processing,87.61
b1d60024-7db2-4764-84e9-d856fc260f87,Amy Jenkins,georgemolly@example.com,001-763-579-6882x037,7d59297c-9c76-471c-a9d4-2112ad710900,break,4,67.55,8704 Morales Landing,Alexandermouth,WV,15535,United States,2025-01-07T00:34:00,Processing,242.03
dd7979f1-5f69-4e72-8d48-1d6dffcde110,Rebecca Freeman,adam60@example.com,+1-802-836-1538x543,d15f6a7e-0915-4aff-829c-386a5157ed07,easy,2,90.84,033 Eric Brooks,Edwinside,ND,87720,United States,2025-02-25T23:29:01,Processing,136.42
686c6cd3-7f26-47a7-a2c6-9c9f7c086045,Stephanie Hart,ejohnson@example.net,001-632-725-2239,34a8826a-9405-4a8a-9353-b3ac1c976065,far,1,24.63,0548 Miller Causeway,Port Laura,IL,40914,United States,2025-03-02T21:49:18,Processing,180.09
c50866f8-0b68-42da-a034-8b583eeec0f3,Monica Moore,rmorgan@example.org,001-820-370-6690,17b29e7b-3fcb-44c8-abe3-25aa23c55d47,kind,2,33.31,399 Tony Loop Suite 063,West Johnathanfurt,GU,44025,United States,2025-01-24T00:41:57,Processing,241.24
b68485be-5be5-4f01-a7ef-9ece460faf1d,John Koch,timothyfreeman@example.net,(835)773-2370,471c5604-7638-46d7-a647-3dc9fc84d467,boy,3,56.52,84688 Murray Mews,Lake Williamburgh,OH,16160,United States,2025-02-21T19:13:13,Processing,211.48
eb907990-1ca4-4677-9d61-8a01c9fde9f2,Jason Mack,spencertina@example.net,(632)409-6336x4655,00fff65c-f964-4dcf-b91f-de4b9655b190,stop,2,67.11,65081 Allen Field Suite 446,West Kim,OR,68047,United States,2025-01-01T13:36:00,Processing,116.9
defbc573-f33d-40ce-8e98-0da6558f8361,Michelle Griffin DVM,iwilson@example.org,427.478.2812x282,2cf88296-680a-4a79-b77f-591973ef9728,pressure,4,62.3,178 John Avenue Suite 013,Ambermouth,LA,48617,United States,2025-01-20T03:35:06,Processing,136.99
61478489-7afc-4cfa-9d72-89d3d3658417,Lawrence Miller,nsmith@example.com,590-371-9773,0c1042d7-d4f3-4084-8694-2ec827c6575c,character,4,80.76,915 Patricia Fork,South Timothy,VI,05173,United States,2025-01-28T21:50:37,Processing,321.57
2df3018e-5bf7-468d-a82b-687d4bbc65f7,Michael Nichols,clinton61@example.com,(693)235-4416,73b4c88f-80d0-4869-8f5b-d28f23a8ac43,little,3,30.55,38910 Gibson Crossroad Suite 978,Lake Mandytown,AS,33211,United States,2025-02-10T11:23:49,Processing,340.92
767497f1-2d97-4c6f-b59a-2075ba684b8e,Gloria Miller,jameshill@example.net,756.280.2389,ec45a87b-fb7e-4634-acce-64edf85abf2f,behavior,7,57.88,8786 Andrew Trace Suite 451,Huntberg,OR,66844,United States,2025-01-06T18:03:49,Processing,350.04
a9206b4b-4634-4b07-a45c-bb9c56dc01c1,Nancy Davis,nwalton@example.org,(615)538-8952x40686,ad22ad2b-b66a-47be-a0c8-2d4d032497fb,visit,7,39.5,13132 Carr Village Suite 890,Ericside,NE,48738,United States,2025-01-17T11:18:12,Processing,396.81
4b753a78-4e44-4b8f-a2b7-4ee184fd52d8,Alexander English,stevenmorse@example.com,849.219.3399x275,1418a9a5-801a-4caf-b20b-fd2bf1637f66,poor,4,15.95,504 Connie Divide,Milesstad,IN,24501,United States,2025-03-10T03:44:09,Processing,146.61
f46a2e64-b16a-41f8-a92c-2bf6a5d04f30,James Lawson,hawkinsandrea@example.com,(222)253-1262,2cb058fa-b865-4597-b87a-061735a5b2f1,serve,3,62.62,75180 Solomon Grove,Nathanfort,SC,42486,United States,2025-02-19T16:52:51,Processing,377.14
cf6ba875-6516-4839-a40a-a1ce8167aa4d,Brandon Barker,dennis92@example.org,360-845-4158x017,32872b92-1ff0-49ef-9740-3687008c1d46,surface,9,32.93,44967 Smith Oval,Lake Michael,KS,78622,United States,2025-01-23T17:02:01,Processing,478.55
